id,title,genre,plot,imdbRating,Year,Country,Language
43,Restoration (1995),Drama,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",6.7,1995,"USA, UK","English, Latin"
44,Mortal Kombat (1995),Action|Adventure,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,5.8,1995,USA,English
45,To Die For (1995),Comedy|Drama,"An aspiring television personality manipulates a group of teenagers into killing her husband, who she sees as a threat to her career.",6.8,1995,"USA, UK, Canada",English
46,How to Make an American Quilt (1995),Drama|Romance,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,6.2,1995,USA,English
47,Seven (Se7en) (1995),Crime|Thriller,N/A,6.0,1995,Canada,English
48,Pocahontas (1995),Animation|Children's|Musical|Romance,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.,6.7,1995,USA,"English, Algonquin"
49,When Night Is Falling (1995),Drama|Romance,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",6.7,1995,Canada,English
50,"Usual Suspects, The (1995)",Crime|Thriller,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",8.6,1995,"USA, Germany","English, Hungarian, Spanish, French"
51,Guardian Angel (1994),Action|Drama|Thriller,"Christine McKay is a cop. She and some other cops which includes her lover are pursuing some criminals. Her lover gets killed by a woman named Nina, who is later caught. Because of his ...",4.8,1994,USA,English
52,Mighty Aphrodite (1995),Comedy,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",7.1,1995,USA,"English, Latin"
53,Lamerica (1994),Drama,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...,7.6,1994,"Italy, France, Switzerland, Austria","Albanian, Italian"
54,"Big Green, The (1995)",Children's|Comedy,"Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ...",5.5,1995,USA,English
55,Georgia (1995),Drama,"Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...",6.5,1995,"USA, France","English, Hebrew"
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil ...",5.0,1995,"USA, Canada",English
57,Home for the Holidays (1995),Drama,"After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",6.6,1995,USA,English
58,"Postino, Il (The Postman) (1994)",Drama|Romance,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,7.7,1994,"Italy, France, Belgium","Italian, Spanish"
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,"The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...",7.6,1995,"Canada, UK, France","French, English"
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...,5.9,1995,USA,English
61,Eye for an Eye (1996),Drama|Thriller,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",6.1,1996,USA,"English, French, Spanish, Korean"
62,Mr. Holland's Opus (1995),Drama,A frustrated composer finds fulfillment as a high school music teacher.,7.3,1995,USA,"English, American Sign Language"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,"""Don't Be a Menace to South Central While Drinking your Juice in the Hood"" is a parody of several U.S. films about being in the 'Hood', for instance ""Boyz n the Hood"", ""South Central"", ""...",6.6,1996,USA,"English, Spanish"
64,Two if by Sea (1996),Comedy|Romance,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ...",5.2,1996,USA,English
65,Bio-Dome (1996),Comedy,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",4.4,1996,USA,English
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...",2.4,1996,USA,English
67,Two Bits (1995),Drama,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's ...",6.3,1995,USA,English
68,French Twist (Gazon maudit) (1995),Comedy|Romance,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",6.4,1995,France,"French, Spanish"
69,Friday (1995),Comedy,"Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by 10 p.m. that same night. In that time, they smoke more weed and get jacked and shot at in a drive-by.",7.3,1995,USA,English
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,"Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results.",7.3,1996,USA,"English, Spanish"
71,Fair Game (1995),Action,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",4.1,1995,USA,"English, Russian"
72,Kicking and Screaming (1995),Comedy|Drama,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all...",7.0,1995,USA,English
73,"Misrables, Les (1995)",Drama|Musical,,,,,
74,Bed of Roses (1996),Drama|Romance,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",6.1,1996,USA,English
75,Big Bully (1996),Comedy|Drama,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",4.5,1996,USA,English
76,Screamers (1995),Sci-Fi|Thriller,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as...",6.4,1995,"Canada, USA, Japan",English
77,Nico Icon (1995),Documentary,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...",7.3,1995,"Germany, USA","English, German"
78,"Crossing Guard, The (1995)",Drama,Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.,6.3,1995,USA,English
79,"Juror, The (1996)",Drama|Thriller,"When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as ""The Teacher"" to persuade the other jurors to vote ""not guilty"". He threatens to kill her son...",5.6,1996,USA,English
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,7.8,1995,Iran,Persian
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,Five different criminals face imminent death after botching a job quite badly.,6.8,1995,USA,English
82,Antonia's Line (Antonia) (1995),Drama,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",7.5,1995,"Netherlands, Belgium, UK, France",Dutch
83,Once Upon a Time... When We Were Colored (1995),Drama,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,7.2,1995,USA,English
84,Last Summer in the Hamptons (1995),Comedy|Drama,"Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the ...",6.1,1995,USA,English
85,Angels and Insects (1995),Drama|Romance,In the 1800s a naturalist marries into a family of British country gentry.,7.0,1995,"UK, USA",English
86,White Squall (1996),Adventure|Drama,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,6.6,1996,"USA, UK","English, Danish, Spanish"
87,Dunston Checks In (1996),Children's|Comedy,A young boy befriends a larcenous orangutan in a luxury hotel.,5.3,1996,USA,"English, French"
88,Black Sheep (1996),Comedy,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,6.2,1996,USA,English
89,Nick of Time (1995),Action|Thriller,"An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",6.3,1995,USA,English
90,"Journey of August King, The (1995)",Drama,"The Journey of August King is a multi-dimensional drama about a North Carolina farmer in April 1815. August King, a widower, is on his way home as he does every year after selling his ...",6.6,1995,USA,English
92,Mary Reilly (1996),Drama|Thriller,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",5.8,1996,"USA, UK",English
93,Vampire in Brooklyn (1995),Comedy|Romance,"Maximillian is the only survivor from a race of vampires on a Caribbean Island, and as a vampire, he must find a mate to keep the line from ending. He knows that a child had been born to a ...",4.5,1995,USA,English
94,Beautiful Girls (1996),Drama,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,7.2,1996,USA,English
95,Broken Arrow (1996),Action|Thriller,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,6.0,1996,USA,English
96,In the Bleak Midwinter (1995),Comedy,"A 15 minutes minimalist summa of theatre art: threshold, space, voice, body, craziness, and crisis. In the bleak midwinter, a young group of non-professional actors explores the component elements of theatre and life.",N/A,2014,Estonia,Estonian
97,"Hate (Haine, La) (1995)",Drama,N/A,N/A,1995,USA,English
98,Shopping (1994),Action|Thriller,"You've run out of options, no school, no job. Steal a car, smash a shop with a heavy car and reap the proceeds!. This movie is about underground England. The causes, the benefits, and the result of a life of 'crash and carry'.",5.4,1994,"UK, Japan",English
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the ...",6.6,1995,"UK, Germany, USA, Canada",English
100,City Hall (1996),Drama|Thriller,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",6.2,1996,USA,English
101,Bottle Rocket (1996),Comedy,Three friends plan to pull off a simple robbery and go on the run.,7.1,1996,USA,"English, Spanish"
102,Mr. Wrong (1996),Comedy,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature.",3.8,1996,USA,English
103,Unforgettable (1996),Thriller,"Unsuccessfully framed for his wife's murder, Dr. David Krane attempts to find the real culprit by utilizing a new drug that allows him to experience the memories of other people first-hand....",6.0,1996,USA,"English, Spanish"
104,Happy Gilmore (1996),Comedy,A rejected hockey player puts his skills to the golf course to save his grandmother's house.,7.0,1996,USA,English
105,"Bridges of Madison County, The (1995)",Drama|Romance,"Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s.",7.5,1995,USA,English
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,"On the brink of her 30th birthday, Fanny feels the door to marital happiness closing up on her. She is obsessed with death, even visits evening classes on dying and so it seems fitting, ...",7.4,1994,Germany,German
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,The Muppets' twist on the classic tale.,6.9,1996,USA,English
108,Catwalk (1995),Documentary,"A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York one year in the early 1990s, probably 1992. She and others dash from one designer's ...",6.5,1995,USA,English
109,Headless Body in Topless Bar (1995),Comedy,"Late one night, in a seedy topless bar, a group of men watch a stripper dance over their malted beverages. But, one of them is an ex-con who's about to put the group on a collision course ...",4.7,1995,USA,English
110,Braveheart (1995),Action|Drama|War,"When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England.",8.4,1995,USA,"English, French, Latin, Scottish Gaelic"
111,Taxi Driver (1976),Drama|Thriller,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",8.3,1976,USA,"English, Spanish"
112,Rumble in the Bronx (1995),Action|Adventure|Crime,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,6.7,1995,Hong Kong,"Cantonese, English"
113,Before and After (1996),Drama|Mystery,Two parents deal with the effects when their son is accused of murdering his girlfriend.,6.1,1996,USA,English
114,Margaret's Museum (1995),Drama,"Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them.",7.3,1995,"Canada, UK","English, Scottish Gaelic, Cantonese"
115,Happiness Is in the Field (1995),Comedy,"Francis, the boss of a small plumbing supply company, is harassed by tax collectors, striking employees, and an impossible wife and daughter. His only joy is sharing lunch with his friend ...",7.0,1995,France,French
116,Anne Frank Remembered (1995),Documentary,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first ...",8.1,1995,"UK, USA, Netherlands",English
117,"Young Poisoner's Handbook, The (1995)",Crime,"This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes ...",7.1,1995,"UK, Germany, France",English
118,If Lucy Fell (1996),Comedy|Romance,"Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable ...",4.9,1996,USA,English
119,"Steal Big, Steal Little (1995)",Comedy,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So...",4.8,1995,USA,English
120,Race the Sun (1996),Drama,"A bunch of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car and win a trip to compete in the 1990 World Solar Challenge in Australia.",5.3,1996,USA,"English, Hawaiian, Russian"
121,"Boys of St. Vincent, The (1993)",Drama,The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.,7.7,1992,Canada,English
122,Boomerang (1992),Comedy|Romance,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,5.4,1992,USA,"English, French"
123,Chungking Express (1994),Drama|Mystery|Romance,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",8.1,1994,Hong Kong,"Cantonese, English, Japanese, Hindi, Mandarin"
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,A photographer and the types of people he encounters.,7.3,1995,Italy,"Italian, Sicilian, Spanish"
125,Flirting With Disaster (1996),Comedy,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents.",6.8,1996,USA,English
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,3.1,1994,"Germany, USA",English
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,,,,,
128,Jupiter's Wife (1994),Documentary,"Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park. Maggie claims to be married to the god Jupiter and the daughter of actor Robert Ryan. Michel gets to know ...",7.2,1995,USA,English
129,Pie in the Sky (1995),Comedy|Romance,A whimsical saga of a young man whose two life-consuming passions are unraveling traffic gridlock and an avant-garde dancer. A romantic comedy.,5.8,1996,USA,English
130,Angela (1995),Drama,N/A,6.5,1995,USA,English
131,Frankie Starlight (1995),Drama|Romance,"This is a story of a man (Walker), suffering from dwarfism, who writes an autobiographical account of his life. In flashbacks, we see how he was conceived to a woman (Parillaud) at the end ...",6.7,1995,"France, UK, Ireland, USA",English
132,Jade (1995),Thriller,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves.",5.2,1995,USA,English
133,Nueba Yol (1995),Comedy|Drama,"The humble and hardworking Orodoto Balbuena finally gets an opportunity of realizing his lifelong dream of reaching New York and living the ""American Dream"", but soon finds out that things aren't as pretty as he thought.",7.1,1995,Dominican Republic,"Spanish, English"
134,Sonic Outlaws (1995),Documentary,N/A,7.4,1995,USA,English
135,Down Periscope (1996),Comedy,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days. With a crew that consists only of weird guys (and a gal), he's ...",6.0,1996,USA,English
136,From the Journals of Jean Seberg (1995),Documentary,"Mark Rappaport's creative bio-pic about actress Jean Seberg is presented in a first-person, autobiographical format (with Seberg played by Mary Beth Hurt). He seamlessly interweaves cinema,...",7.1,1995,USA,English
137,Man of the Year (1995),Documentary,"Mockumentary look at Playgirl Magazine centerfold and 1992 Man of the Year, Dirk Shafer, who kept it a secret from the magazine that he is gay. Most of the film is a fictionalized retelling...",6.1,1995,"USA, UK","English, Yiddish"
138,"Neon Bible, The (1995)",Drama,"While on a train, a teenage boy thinks about his life and the flamboyant aunt whose friendship acted as an emotional shield from his troubled family. This film evokes the haunting quality ...",6.2,1995,UK,English
139,Target (1995),Action|Drama,N/A,7.8,1995,India,"Hindi, Bengali"
140,Up Close and Personal (1996),Drama|Romance,N/A,N/A,1996,USA,English
141,"Birdcage, The (1996)",Comedy,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,7.0,1996,USA,English
142,Shadows (Cienie) (1988),Drama,A married man suffering from midlife crisis obsesses over a girl from his romantic fantasy. He meets her exact duplicate on vacation and helps her get rid of her abusive husband. They run off together but a caller starts blackmailing him.,3.0,1988,USA,English
143,Gospa (1995),Drama,"In 1981 in Medjugorje (BA), a group of kids claim that Virgin Mary appeared to them on a hill. The local priest believes them and spreads the word. Religious tourism blossoms. The communist government is concerned and arrests the priest.",5.1,1995,"Croatia, Canada, USA","Serbo-Croatian, Croatian, English"
144,"Brothers McMullen, The (1995)",Comedy,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.",6.6,1995,USA,English
145,Bad Boys (1995),Action,Two hip detectives protect a murder witness while investigating a case of stolen heroin.,6.8,1995,USA,English
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,A young American boy visiting in China helps his zoologist father rescue a panda cub from unscrupulous poachers while his panda reserve is threatened with closure from officious bureaucrats.,5.8,1995,USA,English
147,"Basketball Diaries, The (1995)",Drama,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.,7.3,1995,USA,English
148,"Awfully Big Adventure, An (1995)",Drama,"Set right after World War II, a naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan, the play quickly turns into a dark metaphor for youth...",6.0,1995,UK,English
149,Amateur (1994),Crime|Drama|Thriller,"Isabelle is an ex-nun waiting for her special mission from God. In the meantime, she is making a living writing pornography. She meets Thomas, a sweet, confused amnesiac who cannot remember...",7.0,1994,"USA, UK, France",English
150,Apollo 13 (1995),Drama,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,7.6,1995,USA,English
151,Rob Roy (1995),Drama|Romance|War,"In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite.",6.9,1995,"USA, UK",English
152,"Addiction, The (1995)",Horror,"A New York philosophy grad student turns into a vampire after getting bitten by one, and then tries to come to terms with her new lifestyle and frequent craving for human blood.",6.4,1995,"USA, Argentina",English
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,"Batman must battle Two-Face and The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",5.4,1995,USA,English
154,Belle de jour (1967),Drama,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,7.8,1967,"France, Italy","French, Spanish, Mongolian"
155,Beyond Rangoon (1995),Drama|War,"Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma. After losing her passport at a political rally, she...",6.6,1995,"UK, USA",English
156,Blue in the Face (1995),Comedy,"Wayne Wang's follow-up movie to Smoke presents a series of improvisational situations strung together to form a pastiche of Brooklyn's diverse ethnicity, offbeat humor, and essential ...",6.7,1995,USA,English
